,Unnamed: 0,Police_Force_Name,Year,Quarter,Detailed_Offence_Description,Offence_Group,Offence_Subgroup,Number_of_Arrests,Arrests_Ranked,Level_of_Lockdown,Region
22520,22520,Suffolk,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,East Midlands
23101,23101,Surrey,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,South East
23737,23737,Sussex,2020,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],High,South East
23738,23738,Sussex,2020,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],High,South East
24501,24501,Thames Valley,2020,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],High,South East
25221,25221,Warwickshire,2020,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],High,West Midlands
25736,25736,West Mercia,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,South West
26351,26351,West Midlands,2020,1,Homicide,Violence against the person,Homicide,14,(-0.001. 20.0],High,West Midlands
26352,26352,West Midlands,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,West Midlands
26992,26992,West Yorkshire,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,East Midlands
28335,28335,Avon and Somerset,2019,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],No Lockdown,South West
28336,28336,Avon and Somerset,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
29047,29047,Bedfordshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
29523,29523,British Transport Police,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,British Transport Police
29524,29524,British Transport Police,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,British Transport Police
29525,29525,British Transport Police,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,British Transport Police
30008,30008,Cambridgeshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
30009,30009,Cambridgeshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
30666,30666,Cheshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,West Midlands
31250,31250,Cleveland,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,North
31251,31251,Cleveland,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,North
31789,31789,Cumbria,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,North
32350,32350,Derbyshire,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,West Midlands
33040,33040,Devon and Cornwall,2019,1,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],No Lockdown,South West
34359,34359,Durham,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,North
34951,34951,Dyfed-Powys,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
35549,35549,Essex,2019,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],No Lockdown,South East
36202,36202,Gloucestershire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
36835,36835,Greater Manchester,2019,1,Homicide,Violence against the person,Homicide,12,(-0.001. 20.0],No Lockdown,West Midlands
36836,36836,Greater Manchester,2019,1,Homicide,Violence against the person,Homicide,5,(-0.001. 20.0],No Lockdown,West Midlands
37590,37590,Gwent,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
38208,38208,Hampshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
38910,38910,Hertfordshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
38911,38911,Hertfordshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
38912,38912,Hertfordshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
39553,39553,Humberside,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
40252,40252,Kent,2019,1,Homicide,Violence against the person,Homicide,0,(-0.001. 20.0],No Lockdown,South East
40253,40253,Kent,2019,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],No Lockdown,South East
41056,41056,Lancashire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,West Midlands
41057,41057,Lancashire,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,West Midlands
41883,41883,Leicestershire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
41884,41884,Leicestershire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
42580,42580,Lincolnshire,2019,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],No Lockdown,East Midlands
42581,42581,Lincolnshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
42582,42582,Lincolnshire,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,East Midlands
43452,43452,Merseyside,2019,1,Homicide,Violence against the person,Homicide,5,(-0.001. 20.0],No Lockdown,West Midlands
43453,43453,Merseyside,2019,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],No Lockdown,West Midlands
44217,44217,Metropolitan Police,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,South East
44218,44218,Metropolitan Police,2019,1,Homicide,Violence against the person,Homicide,27,(20.0. 40.0],No Lockdown,South East
44219,44219,Metropolitan Police,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
44220,44220,Metropolitan Police,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,South East
44985,44985,Norfolk,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
