,Police_Force_Name,Year,Quarter,Offence_Group,Number_of_Arrests,Arrests_Ranked,Region,Level_of_Lockdown
83650,West Yorkshire,2021,3,Violence against the person,1690,(1600. 1700],East Midlands,Medium
12712,Kent,2020,1,Sexual offences,7,(-0.001. 20.0],South East,High
101807,Metropolitan Police,2021,1,Theft offences,1,(-0.001. 20.0],South East,Medium
57370,Cumbria,2021,3,Theft offences,1,(-0.001. 20.0],North,Medium
21336,South Yorkshire,2020,1,Sexual offences,11,(-0.001. 20.0],East Midlands,High
27905,Wiltshire,2020,1,Criminal damage and arson,6,(-0.001. 20.0],South West,High
18922,Northamptonshire,2020,1,Theft offences,5,(-0.001. 20.0],East Midlands,High
30564,Cheshire,2019,1,Theft offences,1,(-0.001. 20.0],West Midlands,No Lockdown
83973,Wiltshire,2021,3,Criminal damage and arson,1,(-0.001. 20.0],South West,Medium
64416,Derbyshire,2021,3,Criminal damage and arson,87,(80.0. 100.0],West Midlands,Medium
26905,West Midlands,2020,1,Violence against the person,4,(-0.001. 20.0],West Midlands,High
61454,Bedfordshire,2021,3,Sexual offences,2,(-0.001. 20.0],South East,Medium
67278,Essex,2021,3,Drug offences,3,(-0.001. 20.0],South East,Medium
49106,South Wales,2019,1,Public order offences,3,(-0.001. 20.0],South West,No Lockdown
67488,Gloucestershire,2021,3,Theft offences,184,(180.0. 200.0],South West,Medium
84762,Devon and Cornwall,2021,1,Public order offences,55,(40.0. 60.0],South West,Medium
82202,West Mercia,2021,3,Theft offences,1,(-0.001. 20.0],South West,Medium
45633,North Wales,2019,1,Public order offences,1,(-0.001. 20.0],South West,No Lockdown
89903,Cheshire,2021,1,Violence against the person,8,(-0.001. 20.0],West Midlands,Medium
78201,South Yorkshire,2021,3,Violence against the person,1,(-0.001. 20.0],East Midlands,Medium
45614,North Wales,2019,1,Theft offences,2,(-0.001. 20.0],South West,No Lockdown
75517,North Yorkshire,2021,3,Violence against the person,5,(-0.001. 20.0],North,Medium
38215,Hampshire,2019,1,Theft offences,478,(400. 500],South East,No Lockdown
30631,Cheshire,2019,1,Theft offences,2,(-0.001. 20.0],West Midlands,No Lockdown
54762,West Midlands,2019,1,Criminal damage and arson,11,(-0.001. 20.0],West Midlands,No Lockdown
59252,North Wales,2021,3,Sexual offences,22,(20.0. 40.0],South West,Medium
73229,Merseyside,2021,3,Theft offences,43,(40.0. 60.0],West Midlands,Medium
61179,Avon and Somerset,2021,3,Violence against the person,26,(20.0. 40.0],South West,Medium
5450,Cleveland,2020,1,Public order offences,2,(-0.001. 20.0],North,High
46602,North Yorkshire,2019,1,Theft offences,2,(-0.001. 20.0],North,No Lockdown
61972,British Transport Police,2021,3,Violence against the person,4,(-0.001. 20.0],British Transport Police,Medium
83713,West Yorkshire,2021,3,Violence against the person,1,(-0.001. 20.0],East Midlands,Medium
81460,Thames Valley,2021,3,Violence against the person,3,(-0.001. 20.0],South East,Medium
245,Cleveland,2020,1,Criminal damage and arson,1,(-0.001. 20.0],North,High
74522,Norfolk,2021,3,Theft offences,11,(-0.001. 20.0],East Midlands,Medium
34707,Durham,2019,1,Theft offences,7,(-0.001. 20.0],North,No Lockdown
103588,North Yorkshire,2021,1,Theft offences,3,(-0.001. 20.0],North,Medium
9159,Essex,2020,1,Sexual offences,2,(-0.001. 20.0],South East,High
103798,North Yorkshire,2021,1,Violence against the person,109,(100.0. 120.0],North,Medium
45881,North Wales,2019,1,Sexual offences,3,(-0.001. 20.0],South West,No Lockdown
12960,Kent,2020,1,Criminal damage and arson,3,(-0.001. 20.0],South East,High
80180,Surrey,2021,3,Public order offences,1,(-0.001. 20.0],South East,Medium
53454,Thames Valley,2019,1,Theft offences,2,(-0.001. 20.0],South East,No Lockdown
72428,Leicestershire,2021,3,Public order offences,17,(-0.001. 20.0],East Midlands,Medium
65422,Dorset,2021,3,Theft offences,55,(40.0. 60.0],South West,Medium
10076,Gloucestershire,2020,1,Sexual offences,1,(-0.001. 20.0],South West,High
23038,Suffolk,2020,1,Violence against the person,2,(-0.001. 20.0],East Midlands,High
50914,Suffolk,2019,1,Violence against the person,19,(-0.001. 20.0],East Midlands,No Lockdown
64989,Devon and Cornwall,2021,3,Public order offences,1,(-0.001. 20.0],South West,Medium
109952,Thames Valley,2021,1,Violence against the person,14,(-0.001. 20.0],South East,Medium
5043,Cleveland,2020,1,Violence against the person,143,(140.0. 160.0],North,High
16354,Metropolitan Police,2020,1,Sexual offences,1,(-0.001. 20.0],South East,High
31055,Cheshire,2019,1,Drug offences,2,(-0.001. 20.0],West Midlands,No Lockdown
72494,Lincolnshire,2021,3,Sexual offences,1,(-0.001. 20.0],East Midlands,Medium
87635,Avon and Somerset,2021,1,Theft offences,2,(-0.001. 20.0],South West,Medium
91621,Devon and Cornwall,2021,1,Violence against the person,97,(80.0. 100.0],South West,Medium
82170,West Mercia,2021,3,Theft offences,86,(80.0. 100.0],South West,Medium
93577,Dyfed-Powys,2021,1,Public order offences,2,(-0.001. 20.0],South West,Medium
72652,Lincolnshire,2021,3,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
19237,Northamptonshire,2020,1,Drug offences,1,(-0.001. 20.0],East Midlands,High
92909,Durham,2021,1,Theft offences,3,(-0.001. 20.0],North,Medium
45,Avon and Somerset,2020,1,Criminal damage and arson,1,(-0.001. 20.0],South West,High
34989,Dyfed-Powys,2019,1,Public order offences,4,(-0.001. 20.0],South West,No Lockdown
77502,South Wales,2021,3,Theft offences,52,(40.0. 60.0],South West,Medium
4762,Cheshire,2020,1,Theft offences,1,(-0.001. 20.0],West Midlands,High
34953,Dyfed-Powys,2019,1,Theft offences,2,(-0.001. 20.0],South West,No Lockdown
55299,West Midlands,2019,1,Sexual offences,27,(20.0. 40.0],West Midlands,No Lockdown
101222,Merseyside,2021,1,Criminal damage and arson,705,(700. 800],West Midlands,Medium
5975,Cumbria,2020,1,Violence against the person,2,(-0.001. 20.0],North,High
26237,West Mercia,2020,1,Violence against the person,1060,(1000. 1100],South West,High
10737,Gwent,2020,1,Public order offences,9,(-0.001. 20.0],South West,High
33241,Devon and Cornwall,2019,1,Public order offences,13,(-0.001. 20.0],South West,No Lockdown
28023,Wiltshire,2020,1,Violence against the person,10,(-0.001. 20.0],South West,High
13183,Kent,2020,1,Violence against the person,2,(-0.001. 20.0],South East,High
91531,Derbyshire,2021,1,Violence against the person,1,(-0.001. 20.0],West Midlands,Medium
41056,Lancashire,2019,1,Violence against the person,1,(-0.001. 20.0],West Midlands,No Lockdown
44925,Norfolk,2019,1,Criminal damage and arson,8,(-0.001. 20.0],East Midlands,No Lockdown
95663,Greater Manchester,2021,1,Sexual offences,89,(80.0. 100.0],West Midlands,Medium
20216,Nottinghamshire,2020,1,Theft offences,98,(80.0. 100.0],East Midlands,High
93008,Durham,2021,1,Theft offences,2,(-0.001. 20.0],North,Medium
18862,Northamptonshire,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
14782,Lincolnshire,2020,1,Theft offences,2,(-0.001. 20.0],East Midlands,High
80183,Surrey,2021,3,Public order offences,1,(-0.001. 20.0],South East,Medium
79770,Surrey,2021,3,Violence against the person,5,(-0.001. 20.0],South East,Medium
56716,Wiltshire,2019,1,Sexual offences,2,(-0.001. 20.0],South West,No Lockdown
52701,Sussex,2019,1,Theft offences,490,(400. 500],South East,No Lockdown
58141,Gwent,2021,3,Theft offences,54,(40.0. 60.0],South West,Medium
42926,Lincolnshire,2019,1,Public order offences,49,(40.0. 60.0],East Midlands,No Lockdown
19125,Northamptonshire,2020,1,Public order offences,10,(-0.001. 20.0],East Midlands,High
54924,West Midlands,2019,1,Criminal damage and arson,1,(-0.001. 20.0],West Midlands,No Lockdown
64629,Derbyshire,2021,3,Public order offences,17,(-0.001. 20.0],West Midlands,Medium
34571,Durham,2019,1,Sexual offences,37,(20.0. 40.0],North,No Lockdown
9345,Essex,2020,1,Theft offences,10,(-0.001. 20.0],South East,High
63759,Cumbria,2021,3,Sexual offences,3,(-0.001. 20.0],North,Medium
79906,Surrey,2021,3,Sexual offences,1,(-0.001. 20.0],South East,Medium
63100,Cheshire,2021,3,Public order offences,1,(-0.001. 20.0],West Midlands,Medium
4882,Cheshire,2020,1,Public order offences,13,(-0.001. 20.0],West Midlands,High
62181,Cambridgeshire,2021,3,Violence against the person,3,(-0.001. 20.0],East Midlands,Medium
46899,Northamptonshire,2019,1,Public order offences,2,(-0.001. 20.0],East Midlands,No Lockdown
21104,South Wales,2020,1,Violence against the person,105,(100.0. 120.0],South West,High
15606,Merseyside,2020,1,Sexual offences,33,(20.0. 40.0],West Midlands,High
40227,Kent,2019,1,Public order offences,1,(-0.001. 20.0],South East,No Lockdown
95561,Greater Manchester,2021,1,Violence against the person,1,(-0.001. 20.0],West Midlands,Medium
10768,Hampshire,2020,1,Violence against the person,10,(-0.001. 20.0],South East,High
67098,Essex,2021,3,Violence against the person,54,(40.0. 60.0],South East,Medium
65439,Dorset,2021,3,Criminal damage and arson,1,(-0.001. 20.0],South West,Medium
86233,North Yorkshire,2021,1,Public order offences,3,(-0.001. 20.0],North,Medium
104352,Northamptonshire,2021,1,Violence against the person,8,(-0.001. 20.0],East Midlands,Medium
19639,Northumbria,2020,1,Criminal damage and arson,1168,(1100. 1200],North,High
102051,Metropolitan Police,2021,1,Public order offences,202,(200. 300],South East,Medium
67450,Gloucestershire,2021,3,Violence against the person,3,(-0.001. 20.0],South West,Medium
63418,Cleveland,2021,3,Criminal damage and arson,639,(600. 700],North,Medium
49306,South Wales,2019,1,Theft offences,24,(20.0. 40.0],South West,No Lockdown
28649,Avon and Somerset,2019,1,Sexual offences,1,(-0.001. 20.0],South West,No Lockdown
31654,Cumbria,2019,1,Violence against the person,5,(-0.001. 20.0],North,No Lockdown
1218,Metropolitan Police,2020,1,Drug offences,29,(20.0. 40.0],South East,High
45938,North Wales,2019,1,Sexual offences,4,(-0.001. 20.0],South West,No Lockdown
48241,Nottinghamshire,2019,1,Theft offences,292,(200. 300],East Midlands,No Lockdown
104262,Northamptonshire,2021,1,Criminal damage and arson,4,(-0.001. 20.0],East Midlands,Medium
94892,Gloucestershire,2021,1,Violence against the person,11,(-0.001. 20.0],South West,Medium
49134,South Wales,2019,1,Criminal damage and arson,3,(-0.001. 20.0],South West,No Lockdown
35580,Essex,2019,1,Public order offences,13,(-0.001. 20.0],South East,No Lockdown
107243,Staffordshire,2021,1,Theft offences,1,(-0.001. 20.0],West Midlands,Medium
110556,West Mercia,2021,1,Violence against the person,11,(-0.001. 20.0],South West,Medium
57033,British Transport Police,2021,3,Criminal damage and arson,3,(-0.001. 20.0],British Transport Police,Medium
31669,Cumbria,2019,1,Violence against the person,1,(-0.001. 20.0],North,No Lockdown
65447,Dorset,2021,3,Criminal damage and arson,21,(20.0. 40.0],South West,Medium
103648,North Yorkshire,2021,1,Theft offences,3,(-0.001. 20.0],North,Medium
93137,Durham,2021,1,Public order offences,1,(-0.001. 20.0],North,Medium
36419,Gloucestershire,2019,1,Sexual offences,8,(-0.001. 20.0],South West,No Lockdown
14894,Lincolnshire,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
10331,Gwent,2020,1,Sexual offences,4,(-0.001. 20.0],South West,High
29620,British Transport Police,2019,1,Drug offences,64,(60.0. 80.0],British Transport Police,No Lockdown
83240,West Yorkshire,2021,3,Sexual offences,4,(-0.001. 20.0],East Midlands,Medium
17273,Norfolk,2020,1,Theft offences,3,(-0.001. 20.0],East Midlands,High
42706,Lincolnshire,2019,1,Drug offences,12,(-0.001. 20.0],East Midlands,No Lockdown
10988,Hampshire,2020,1,Theft offences,11,(-0.001. 20.0],South East,High
86557,South Wales,2021,1,Drug offences,9,(-0.001. 20.0],South West,Medium
76918,Nottinghamshire,2021,3,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
28203,Avon and Somerset,2019,1,Theft offences,14,(-0.001. 20.0],South West,No Lockdown
112263,West Yorkshire,2021,1,Violence against the person,10,(-0.001. 20.0],East Midlands,Medium
65987,Durham,2021,3,Criminal damage and arson,6,(-0.001. 20.0],North,Medium
6227,Derbyshire,2020,1,Public order offences,1,(-0.001. 20.0],West Midlands,High
85777,Lincolnshire,2021,1,Sexual offences,6,(-0.001. 20.0],East Midlands,Medium
111969,West Yorkshire,2021,1,Theft offences,8,(-0.001. 20.0],East Midlands,Medium
89630,Cheshire,2021,1,Theft offences,32,(20.0. 40.0],West Midlands,Medium
106069,South Wales,2021,1,Theft offences,1,(-0.001. 20.0],South West,Medium
98655,Kent,2021,1,Violence against the person,10,(-0.001. 20.0],South East,Medium
6904,Devon and Cornwall,2020,1,Theft offences,1,(-0.001. 20.0],South West,High
56496,Wiltshire,2019,1,Sexual offences,5,(-0.001. 20.0],South West,No Lockdown
110712,West Mercia,2021,1,Theft offences,25,(20.0. 40.0],South West,Medium
46012,North Wales,2019,1,Theft offences,3,(-0.001. 20.0],South West,No Lockdown
3030,Bedfordshire,2020,1,Violence against the person,4,(-0.001. 20.0],South East,High
81451,Thames Valley,2021,3,Violence against the person,1,(-0.001. 20.0],South East,Medium
83378,West Yorkshire,2021,3,Theft offences,44,(40.0. 60.0],East Midlands,Medium
104197,Northamptonshire,2021,1,Theft offences,11,(-0.001. 20.0],East Midlands,Medium
47868,Northumbria,2019,1,Violence against the person,53,(40.0. 60.0],North,No Lockdown
86476,Nottinghamshire,2021,1,Violence against the person,40,(20.0. 40.0],East Midlands,Medium
98223,Kent,2021,1,Sexual offences,77,(60.0. 80.0],South East,Medium
44166,Metropolitan Police,2019,1,Public order offences,1,(-0.001. 20.0],South East,No Lockdown
86870,Sussex,2021,1,Violence against the person,16,(-0.001. 20.0],South East,Medium
55006,West Midlands,2019,1,Violence against the person,528,(500. 600],West Midlands,No Lockdown
1051,Lincolnshire,2020,1,Sexual offences,1,(-0.001. 20.0],East Midlands,High
112407,Wiltshire,2021,1,Violence against the person,2,(-0.001. 20.0],South West,Medium
59576,Northumbria,2021,3,Violence against the person,167,(160.0. 180.0],North,Medium
13356,Lancashire,2020,1,Sexual offences,10,(-0.001. 20.0],West Midlands,High
73196,Merseyside,2021,3,Theft offences,465,(400. 500],West Midlands,Medium
21492,South Yorkshire,2020,1,Theft offences,361,(300. 400],East Midlands,High
51087,Suffolk,2019,1,Public order offences,8,(-0.001. 20.0],East Midlands,No Lockdown
81126,Thames Valley,2021,3,Theft offences,49,(40.0. 60.0],South East,Medium
72808,Lincolnshire,2021,3,Violence against the person,1,(-0.001. 20.0],East Midlands,Medium
10199,Gloucestershire,2020,1,Public order offences,3,(-0.001. 20.0],South West,High
107870,Suffolk,2021,1,Theft offences,3,(-0.001. 20.0],East Midlands,Medium
57462,Derbyshire,2021,3,Theft offences,25,(20.0. 40.0],West Midlands,Medium
33730,Dorset,2019,1,Violence against the person,199,(180.0. 200.0],South West,No Lockdown
13853,Lancashire,2020,1,Sexual offences,9,(-0.001. 20.0],West Midlands,High
29928,Cambridgeshire,2019,1,Criminal damage and arson,9,(-0.001. 20.0],East Midlands,No Lockdown
23939,Sussex,2020,1,Public order offences,1,(-0.001. 20.0],South East,High
107337,Staffordshire,2021,1,Theft offences,202,(200. 300],West Midlands,Medium
101743,Metropolitan Police,2021,1,Sexual offences,2,(-0.001. 20.0],South East,Medium
94026,Essex,2021,1,Theft offences,8,(-0.001. 20.0],South East,Medium
33073,Devon and Cornwall,2019,1,Violence against the person,175,(160.0. 180.0],South West,No Lockdown
25475,Warwickshire,2020,1,Theft offences,1,(-0.001. 20.0],West Midlands,High
78601,South Yorkshire,2021,3,Drug offences,14,(-0.001. 20.0],East Midlands,Medium
111765,West Yorkshire,2021,1,Sexual offences,91,(80.0. 100.0],East Midlands,Medium
83090,West Midlands,2021,3,Public order offences,1,(-0.001. 20.0],West Midlands,Medium
100184,Leicestershire,2021,1,Public order offences,4,(-0.001. 20.0],East Midlands,Medium
52057,Sussex,2019,1,Violence against the person,20,(-0.001. 20.0],South East,No Lockdown
106948,South Yorkshire,2021,1,Violence against the person,187,(180.0. 200.0],East Midlands,Medium
108340,Surrey,2021,1,Theft offences,120,(100.0. 120.0],South East,Medium
101237,Merseyside,2021,1,Criminal damage and arson,1,(-0.001. 20.0],West Midlands,Medium
47426,Northumbria,2019,1,Theft offences,1,(-0.001. 20.0],North,No Lockdown
54159,West Mercia,2019,1,Theft offences,1,(-0.001. 20.0],South West,No Lockdown
43058,London. City of,2019,1,Criminal damage and arson,2,(-0.001. 20.0],South East,No Lockdown
72371,Leicestershire,2021,3,Drug offences,8,(-0.001. 20.0],East Midlands,Medium
46514,North Yorkshire,2019,1,Sexual offences,5,(-0.001. 20.0],North,No Lockdown
48053,Nottinghamshire,2019,1,Violence against the person,2,(-0.001. 20.0],East Midlands,No Lockdown
89377,Cambridgeshire,2021,1,Drug offences,7,(-0.001. 20.0],East Midlands,Medium
56643,Wiltshire,2019,1,Public order offences,84,(80.0. 100.0],South West,No Lockdown
32043,Cumbria,2019,1,Theft offences,20,(-0.001. 20.0],North,No Lockdown
54291,West Mercia,2019,1,Violence against the person,800,(700. 800],South West,No Lockdown
62956,Cheshire,2021,3,Public order offences,3,(-0.001. 20.0],West Midlands,Medium
16959,Norfolk,2020,1,Violence against the person,10,(-0.001. 20.0],East Midlands,High
54681,West Mercia,2019,1,Theft offences,1,(-0.001. 20.0],South West,No Lockdown
34648,Durham,2019,1,Sexual offences,1,(-0.001. 20.0],North,No Lockdown
60191,Sussex,2021,3,Theft offences,59,(40.0. 60.0],South East,Medium
73943,Metropolitan Police,2021,3,Theft offences,2,(-0.001. 20.0],South East,Medium
5006,Cheshire,2020,1,Public order offences,1,(-0.001. 20.0],West Midlands,High
60846,Avon and Somerset,2021,3,Violence against the person,56,(40.0. 60.0],South West,Medium
29972,Cambridgeshire,2019,1,Violence against the person,2,(-0.001. 20.0],East Midlands,No Lockdown
12339,Humberside,2020,1,Criminal damage and arson,3,(-0.001. 20.0],East Midlands,High
953,Lancashire,2020,1,Theft offences,2,(-0.001. 20.0],West Midlands,High
54363,West Mercia,2019,1,Public order offences,1,(-0.001. 20.0],South West,No Lockdown
14170,Leicestershire,2020,1,Sexual offences,3,(-0.001. 20.0],East Midlands,High
102655,Norfolk,2021,1,Criminal damage and arson,1,(-0.001. 20.0],East Midlands,Medium
86630,South Yorkshire,2021,1,Violence against the person,40,(20.0. 40.0],East Midlands,Medium
60889,Avon and Somerset,2021,3,Theft offences,5,(-0.001. 20.0],South West,Medium
91838,Devon and Cornwall,2021,1,Theft offences,1,(-0.001. 20.0],South West,Medium
39801,Humberside,2019,1,Sexual offences,4,(-0.001. 20.0],East Midlands,No Lockdown
106824,South Yorkshire,2021,1,Violence against the person,90,(80.0. 100.0],East Midlands,Medium
44091,Metropolitan Police,2019,1,Sexual offences,13,(-0.001. 20.0],South East,No Lockdown
53043,Thames Valley,2019,1,Public order offences,4,(-0.001. 20.0],South East,No Lockdown
98675,Kent,2021,1,Violence against the person,1,(-0.001. 20.0],South East,Medium
48440,Nottinghamshire,2019,1,Public order offences,123,(120.0. 140.0],East Midlands,No Lockdown
59309,North Wales,2021,3,Public order offences,2,(-0.001. 20.0],South West,Medium
2053,West Midlands,2020,1,Violence against the person,4,(-0.001. 20.0],West Midlands,High
18719,Northamptonshire,2020,1,Violence against the person,1,(-0.001. 20.0],East Midlands,High
6560,Derbyshire,2020,1,Sexual offences,1,(-0.001. 20.0],West Midlands,High
94647,Gloucestershire,2021,1,Theft offences,1,(-0.001. 20.0],South West,Medium
3801,British Transport Police,2020,1,Violence against the person,2,(-0.001. 20.0],British Transport Police,High
50437,Staffordshire,2019,1,Violence against the person,5,(-0.001. 20.0],West Midlands,No Lockdown
102883,Norfolk,2021,1,Public order offences,463,(400. 500],East Midlands,Medium
104846,Northumbria,2021,1,Criminal damage and arson,105,(100.0. 120.0],North,Medium
93612,Dyfed-Powys,2021,1,Public order offences,4,(-0.001. 20.0],South West,Medium
83767,West Yorkshire,2021,3,Public order offences,7,(-0.001. 20.0],East Midlands,Medium
11522,Hertfordshire,2020,1,Sexual offences,3,(-0.001. 20.0],South East,High
9968,Gloucestershire,2020,1,Theft offences,11,(-0.001. 20.0],South West,High
9336,Essex,2020,1,Theft offences,27,(20.0. 40.0],South East,High
18225,North Yorkshire,2020,1,Sexual offences,1,(-0.001. 20.0],North,High
87151,West Mercia,2021,1,Public order offences,37,(20.0. 40.0],South West,Medium
50089,Staffordshire,2019,1,Violence against the person,18,(-0.001. 20.0],West Midlands,No Lockdown
87073,Warwickshire,2021,1,Theft offences,1,(-0.001. 20.0],West Midlands,Medium
85231,Gwent,2021,1,Violence against the person,82,(80.0. 100.0],South West,Medium
94107,Essex,2021,1,Theft offences,244,(200. 300],South East,Medium
82434,West Mercia,2021,3,Violence against the person,87,(80.0. 100.0],South West,Medium
36023,Essex,2019,1,Drug offences,25,(20.0. 40.0],South East,No Lockdown
89956,Cheshire,2021,1,Public order offences,451,(400. 500],West Midlands,Medium
14655,Leicestershire,2020,1,Drug offences,27,(20.0. 40.0],East Midlands,High
37315,Greater Manchester,2019,1,Theft offences,39,(20.0. 40.0],West Midlands,No Lockdown
4590,Cheshire,2020,1,Sexual offences,3,(-0.001. 20.0],West Midlands,High
105649,Nottinghamshire,2021,1,Violence against the person,89,(80.0. 100.0],East Midlands,Medium
72856,Lincolnshire,2021,3,Public order offences,3,(-0.001. 20.0],East Midlands,Medium
31403,Cleveland,2019,1,Violence against the person,1,(-0.001. 20.0],North,No Lockdown
1130,Merseyside,2020,1,Criminal damage and arson,3,(-0.001. 20.0],West Midlands,High
27465,West Yorkshire,2020,1,Criminal damage and arson,5,(-0.001. 20.0],East Midlands,High
15558,Merseyside,2020,1,Sexual offences,1,(-0.001. 20.0],West Midlands,High
47374,Northumbria,2019,1,Criminal damage and arson,7,(-0.001. 20.0],North,No Lockdown
107868,Suffolk,2021,1,Theft offences,281,(200. 300],East Midlands,Medium
79739,Suffolk,2021,3,Public order offences,70,(60.0. 80.0],East Midlands,Medium
28669,Avon and Somerset,2019,1,Sexual offences,15,(-0.001. 20.0],South West,No Lockdown
82481,West Mercia,2021,3,Public order offences,29,(20.0. 40.0],South West,Medium
68721,Gwent,2021,3,Public order offences,5,(-0.001. 20.0],South West,Medium
44016,Metropolitan Police,2019,1,Violence against the person,270,(200. 300],South East,No Lockdown
99635,Leicestershire,2021,1,Sexual offences,1,(-0.001. 20.0],East Midlands,Medium
40365,Kent,2019,1,Public order offences,2,(-0.001. 20.0],South East,No Lockdown
95350,Greater Manchester,2021,1,Theft offences,7,(-0.001. 20.0],West Midlands,Medium
99661,Leicestershire,2021,1,Sexual offences,7,(-0.001. 20.0],East Midlands,Medium
26339,West Mercia,2020,1,Public order offences,6,(-0.001. 20.0],South West,High
44775,Norfolk,2019,1,Theft offences,2,(-0.001. 20.0],East Midlands,No Lockdown
100918,Merseyside,2021,1,Sexual offences,4,(-0.001. 20.0],West Midlands,Medium
45516,North Wales,2019,1,Violence against the person,12,(-0.001. 20.0],South West,No Lockdown
4402,Cambridgeshire,2020,1,Violence against the person,2,(-0.001. 20.0],East Midlands,High
78913,Staffordshire,2021,3,Theft offences,367,(300. 400],West Midlands,Medium
53460,Thames Valley,2019,1,Theft offences,22,(20.0. 40.0],South East,No Lockdown
109285,Sussex,2021,1,Violence against the person,62,(60.0. 80.0],South East,Medium
2064,West Yorkshire,2020,1,Violence against the person,64,(60.0. 80.0],East Midlands,High
90788,Cumbria,2021,1,Theft offences,8,(-0.001. 20.0],North,Medium
42796,Lincolnshire,2019,1,Theft offences,10,(-0.001. 20.0],East Midlands,No Lockdown
33581,Dorset,2019,1,Violence against the person,4,(-0.001. 20.0],South West,No Lockdown
79038,Staffordshire,2021,3,Violence against the person,1,(-0.001. 20.0],West Midlands,Medium
66075,Durham,2021,3,Public order offences,1,(-0.001. 20.0],North,Medium
6262,Derbyshire,2020,1,Theft offences,53,(40.0. 60.0],West Midlands,High
87469,Avon and Somerset,2021,1,Violence against the person,1,(-0.001. 20.0],South West,Medium
52056,Sussex,2019,1,Violence against the person,1,(-0.001. 20.0],South East,No Lockdown
1571,South Yorkshire,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
76911,Nottinghamshire,2021,3,Theft offences,12,(-0.001. 20.0],East Midlands,Medium
204,Cheshire,2020,1,Theft offences,5,(-0.001. 20.0],West Midlands,High
104565,Northumbria,2021,1,Sexual offences,1,(-0.001. 20.0],North,Medium
24844,Thames Valley,2020,1,Theft offences,41,(40.0. 60.0],South East,High
5005,Cheshire,2020,1,Public order offences,3,(-0.001. 20.0],West Midlands,High
69855,Hertfordshire,2021,3,Violence against the person,13,(-0.001. 20.0],South East,Medium
86027,Metropolitan Police,2021,1,Violence against the person,43,(40.0. 60.0],South East,Medium
14412,Leicestershire,2020,1,Criminal damage and arson,2,(-0.001. 20.0],East Midlands,High
111784,West Yorkshire,2021,1,Sexual offences,11,(-0.001. 20.0],East Midlands,Medium
99514,Leicestershire,2021,1,Violence against the person,3,(-0.001. 20.0],East Midlands,Medium
98273,Kent,2021,1,Sexual offences,23,(20.0. 40.0],South East,Medium
110505,Warwickshire,2021,1,Drug offences,5,(-0.001. 20.0],West Midlands,Medium
64957,Devon and Cornwall,2021,3,Criminal damage and arson,81,(80.0. 100.0],South West,Medium
60322,Thames Valley,2021,3,Sexual offences,54,(40.0. 60.0],South East,Medium
108419,Surrey,2021,1,Theft offences,1,(-0.001. 20.0],South East,Medium
20288,Nottinghamshire,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
74608,Norfolk,2021,3,Public order offences,1,(-0.001. 20.0],East Midlands,Medium
32012,Cumbria,2019,1,Sexual offences,6,(-0.001. 20.0],North,No Lockdown
71059,Kent,2021,3,Violence against the person,1,(-0.001. 20.0],South East,Medium
43652,Merseyside,2019,1,Public order offences,637,(600. 700],West Midlands,No Lockdown
9197,Essex,2020,1,Sexual offences,26,(20.0. 40.0],South East,High
94983,Greater Manchester,2021,1,Violence against the person,39,(20.0. 40.0],West Midlands,Medium
40086,Kent,2019,1,Theft offences,14,(-0.001. 20.0],South East,No Lockdown
100466,Lincolnshire,2021,1,Criminal damage and arson,11,(-0.001. 20.0],East Midlands,Medium
61916,British Transport Police,2021,3,Theft offences,23,(20.0. 40.0],British Transport Police,Medium
31042,Cheshire,2019,1,Public order offences,33,(20.0. 40.0],West Midlands,No Lockdown
10773,Hampshire,2020,1,Violence against the person,4,(-0.001. 20.0],South East,High
104529,Northumbria,2021,1,Violence against the person,17,(-0.001. 20.0],North,Medium
73746,Metropolitan Police,2021,3,Sexual offences,1,(-0.001. 20.0],South East,Medium
40430,Kent,2019,1,Drug offences,54,(40.0. 60.0],South East,No Lockdown
94658,Gloucestershire,2021,1,Public order offences,1,(-0.001. 20.0],South West,Medium
34585,Durham,2019,1,Sexual offences,2,(-0.001. 20.0],North,No Lockdown
84480,Cheshire,2021,1,Violence against the person,33,(20.0. 40.0],West Midlands,Medium
82776,West Midlands,2021,3,Theft offences,9,(-0.001. 20.0],West Midlands,Medium
10718,Gwent,2020,1,Public order offences,9,(-0.001. 20.0],South West,High
8935,Dyfed-Powys,2020,1,Violence against the person,21,(20.0. 40.0],South West,High
73120,Merseyside,2021,3,Public order offences,1,(-0.001. 20.0],West Midlands,Medium
89345,Cambridgeshire,2021,1,Violence against the person,5,(-0.001. 20.0],East Midlands,Medium
81278,Thames Valley,2021,3,Criminal damage and arson,9,(-0.001. 20.0],South East,Medium
33043,Devon and Cornwall,2019,1,Sexual offences,1,(-0.001. 20.0],South West,No Lockdown
3290,Bedfordshire,2020,1,Theft offences,43,(40.0. 60.0],South East,High
109624,Thames Valley,2021,1,Public order offences,9,(-0.001. 20.0],South East,Medium
