,Police_Force_Name,Year,Quarter,Offence_Group,Number_of_Arrests,Arrests_Ranked,Region,Level_of_Lockdown
39387,Humberside,2019,1,Violence against the person,749,(700. 800],East Midlands,No Lockdown
50891,Suffolk,2019,1,Theft offences,17,(-0.001. 20.0],East Midlands,No Lockdown
66924,Essex,2021,3,Violence against the person,25,(20.0. 40.0],South East,Medium
53346,Thames Valley,2019,1,Sexual offences,10,(-0.001. 20.0],South East,No Lockdown
47249,Northumbria,2019,1,Violence against the person,32,(20.0. 40.0],North,No Lockdown
72039,Leicestershire,2021,3,Violence against the person,2,(-0.001. 20.0],East Midlands,Medium
96587,Hampshire,2021,1,Theft offences,1,(-0.001. 20.0],South East,Medium
52335,Sussex,2019,1,Public order offences,2,(-0.001. 20.0],South East,No Lockdown
92057,Devon and Cornwall,2021,1,Public order offences,3,(-0.001. 20.0],South West,Medium
88759,British Transport Police,2021,1,Violence against the person,1,(-0.001. 20.0],British Transport Police,Medium
85877,Merseyside,2021,1,Theft offences,1,(-0.001. 20.0],West Midlands,Medium
68062,Greater Manchester,2021,3,Public order offences,1,(-0.001. 20.0],West Midlands,Medium
87392,Wiltshire,2021,1,Theft offences,3,(-0.001. 20.0],South West,Medium
13149,Kent,2020,1,Violence against the person,421,(400. 500],South East,High
111042,West Mercia,2021,1,Violence against the person,1,(-0.001. 20.0],South West,Medium
92377,Dorset,2021,1,Sexual offences,1,(-0.001. 20.0],South West,Medium
41130,Lancashire,2019,1,Public order offences,1,(-0.001. 20.0],West Midlands,No Lockdown
17102,Norfolk,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
33466,Devon and Cornwall,2019,1,Theft offences,2,(-0.001. 20.0],South West,No Lockdown
63584,Cleveland,2021,3,Violence against the person,89,(80.0. 100.0],North,Medium
65376,Dorset,2021,3,Theft offences,2,(-0.001. 20.0],South West,Medium
8974,Dyfed-Powys,2020,1,Drug offences,3,(-0.001. 20.0],South West,High
17908,North Wales,2020,1,Criminal damage and arson,1,(-0.001. 20.0],South West,High
100468,Lincolnshire,2021,1,Criminal damage and arson,76,(60.0. 80.0],East Midlands,Medium
25027,Thames Valley,2020,1,Public order offences,5,(-0.001. 20.0],South East,High
50200,Staffordshire,2019,1,Criminal damage and arson,113,(100.0. 120.0],West Midlands,No Lockdown
79190,Staffordshire,2021,3,Drug offences,1,(-0.001. 20.0],West Midlands,Medium
20039,Nottinghamshire,2020,1,Sexual offences,3,(-0.001. 20.0],East Midlands,High
24332,Sussex,2020,1,Sexual offences,1,(-0.001. 20.0],South East,High
20832,South Wales,2020,1,Theft offences,3,(-0.001. 20.0],South West,High
76658,Northumbria,2021,3,Violence against the person,31,(20.0. 40.0],North,Medium
25347,Warwickshire,2020,1,Sexual offences,9,(-0.001. 20.0],West Midlands,High
41133,Lancashire,2019,1,Public order offences,1,(-0.001. 20.0],West Midlands,No Lockdown
13417,Lancashire,2020,1,Sexual offences,5,(-0.001. 20.0],West Midlands,High
105058,Northumbria,2021,1,Drug offences,1,(-0.001. 20.0],North,Medium
1489,Nottinghamshire,2020,1,Sexual offences,1,(-0.001. 20.0],East Midlands,High
64253,Derbyshire,2021,3,Theft offences,14,(-0.001. 20.0],West Midlands,Medium
92414,Dorset,2021,1,Public order offences,1,(-0.001. 20.0],South West,Medium
28417,Avon and Somerset,2019,1,Criminal damage and arson,175,(160.0. 180.0],South West,No Lockdown
41343,Lancashire,2019,1,Sexual offences,2,(-0.001. 20.0],West Midlands,No Lockdown
105418,Nottinghamshire,2021,1,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
69316,Hampshire,2021,3,Public order offences,1,(-0.001. 20.0],South East,Medium
6088,Derbyshire,2020,1,Violence against the person,1,(-0.001. 20.0],West Midlands,High
68838,Gwent,2021,3,Public order offences,15,(-0.001. 20.0],South West,Medium
16952,Norfolk,2020,1,Violence against the person,1,(-0.001. 20.0],East Midlands,High
78289,South Yorkshire,2021,3,Theft offences,2,(-0.001. 20.0],East Midlands,Medium
98966,Lancashire,2021,1,Sexual offences,1,(-0.001. 20.0],West Midlands,Medium
112669,Wiltshire,2021,1,Public order offences,6,(-0.001. 20.0],South West,Medium
97919,Humberside,2021,1,Violence against the person,4,(-0.001. 20.0],East Midlands,Medium
18166,North Yorkshire,2020,1,Violence against the person,108,(100.0. 120.0],North,High
95291,Greater Manchester,2021,1,Violence against the person,16,(-0.001. 20.0],West Midlands,Medium
1999,West Midlands,2020,1,Violence against the person,48,(40.0. 60.0],West Midlands,High
58327,Hertfordshire,2021,3,Sexual offences,1,(-0.001. 20.0],South East,Medium
74552,Norfolk,2021,3,Criminal damage and arson,25,(20.0. 40.0],East Midlands,Medium
86220,North Yorkshire,2021,1,Theft offences,11,(-0.001. 20.0],North,Medium
83520,West Yorkshire,2021,3,Criminal damage and arson,3,(-0.001. 20.0],East Midlands,Medium
79629,Suffolk,2021,3,Sexual offences,1,(-0.001. 20.0],East Midlands,Medium
6244,Derbyshire,2020,1,Theft offences,5,(-0.001. 20.0],West Midlands,High
30800,Cheshire,2019,1,Drug offences,1,(-0.001. 20.0],West Midlands,No Lockdown
68931,Gwent,2021,3,Violence against the person,4,(-0.001. 20.0],South West,Medium
104781,Northumbria,2021,1,Theft offences,18,(-0.001. 20.0],North,Medium
68204,Greater Manchester,2021,3,Criminal damage and arson,16,(-0.001. 20.0],West Midlands,Medium
97628,Humberside,2021,1,Sexual offences,12,(-0.001. 20.0],East Midlands,Medium
108974,Sussex,2021,1,Theft offences,2,(-0.001. 20.0],South East,Medium
27976,Wiltshire,2020,1,Public order offences,4,(-0.001. 20.0],South West,High
66123,Durham,2021,3,Violence against the person,25,(20.0. 40.0],North,Medium
37552,Gwent,2019,1,Violence against the person,7,(-0.001. 20.0],South West,No Lockdown
95156,Greater Manchester,2021,1,Sexual offences,2,(-0.001. 20.0],West Midlands,Medium
71918,Leicestershire,2021,3,Sexual offences,6,(-0.001. 20.0],East Midlands,Medium
27071,West Yorkshire,2020,1,Violence against the person,11,(-0.001. 20.0],East Midlands,High
112718,Wiltshire,2021,1,Violence against the person,1,(-0.001. 20.0],South West,Medium
10217,Gloucestershire,2020,1,Public order offences,9,(-0.001. 20.0],South West,High
89582,Cheshire,2021,1,Theft offences,3,(-0.001. 20.0],West Midlands,Medium
95333,Greater Manchester,2021,1,Violence against the person,1,(-0.001. 20.0],West Midlands,Medium
17504,Norfolk,2020,1,Violence against the person,1,(-0.001. 20.0],East Midlands,High
1765,Surrey,2020,1,Sexual offences,1,(-0.001. 20.0],South East,High
97816,Humberside,2021,1,Theft offences,19,(-0.001. 20.0],East Midlands,Medium
72535,Lincolnshire,2021,3,Sexual offences,5,(-0.001. 20.0],East Midlands,Medium
62219,Cambridgeshire,2021,3,Theft offences,12,(-0.001. 20.0],East Midlands,Medium
54754,West Midlands,2019,1,Theft offences,38,(20.0. 40.0],West Midlands,No Lockdown
61011,Avon and Somerset,2021,3,Theft offences,3,(-0.001. 20.0],South West,Medium
103030,North Wales,2021,1,Sexual offences,2,(-0.001. 20.0],South West,Medium
73360,Merseyside,2021,3,Criminal damage and arson,3,(-0.001. 20.0],West Midlands,Medium
101770,Metropolitan Police,2021,1,Theft offences,25,(20.0. 40.0],South East,Medium
51477,Surrey,2019,1,Violence against the person,2,(-0.001. 20.0],South East,No Lockdown
19887,Northumbria,2020,1,Public order offences,7,(-0.001. 20.0],North,High
47979,Nottinghamshire,2019,1,Theft offences,1,(-0.001. 20.0],East Midlands,No Lockdown
152,Cambridgeshire,2020,1,Violence against the person,3,(-0.001. 20.0],East Midlands,High
73334,Merseyside,2021,3,Criminal damage and arson,2,(-0.001. 20.0],West Midlands,Medium
51885,Surrey,2019,1,Violence against the person,25,(20.0. 40.0],South East,No Lockdown
44953,Norfolk,2019,1,Sexual offences,9,(-0.001. 20.0],East Midlands,No Lockdown
106519,South Yorkshire,2021,1,Sexual offences,26,(20.0. 40.0],East Midlands,Medium
111415,West Midlands,2021,1,Theft offences,80,(60.0. 80.0],West Midlands,Medium
18007,North Wales,2020,1,Public order offences,1,(-0.001. 20.0],South West,High
626,Gwent,2020,1,Theft offences,3,(-0.001. 20.0],South West,High
57824,Dyfed-Powys,2021,3,Violence against the person,88,(80.0. 100.0],South West,Medium
77817,South Wales,2021,3,Violence against the person,1,(-0.001. 20.0],South West,Medium
101045,Merseyside,2021,1,Public order offences,1,(-0.001. 20.0],West Midlands,Medium
55885,West Yorkshire,2019,1,Public order offences,8,(-0.001. 20.0],East Midlands,No Lockdown
4990,Cheshire,2020,1,Drug offences,1,(-0.001. 20.0],West Midlands,High
67875,Greater Manchester,2021,3,Sexual offences,12,(-0.001. 20.0],West Midlands,Medium
8331,Durham,2020,1,Public order offences,9,(-0.001. 20.0],North,High
70871,Kent,2021,3,Criminal damage and arson,22,(20.0. 40.0],South East,Medium
50015,South Yorkshire,2019,1,Violence against the person,83,(80.0. 100.0],East Midlands,No Lockdown
3138,Bedfordshire,2020,1,Sexual offences,10,(-0.001. 20.0],South East,High
74140,Metropolitan Police,2021,3,Violence against the person,1,(-0.001. 20.0],South East,Medium
50186,Staffordshire,2019,1,Criminal damage and arson,36,(20.0. 40.0],West Midlands,No Lockdown
96351,Gwent,2021,1,Public order offences,4,(-0.001. 20.0],South West,Medium
100296,Lincolnshire,2021,1,Sexual offences,4,(-0.001. 20.0],East Midlands,Medium
77771,South Wales,2021,3,Public order offences,1,(-0.001. 20.0],South West,Medium
817,Kent,2020,1,Violence against the person,27,(20.0. 40.0],South East,High
14473,Leicestershire,2020,1,Public order offences,5,(-0.001. 20.0],East Midlands,High
15398,London. City of,2020,1,Public order offences,2,(-0.001. 20.0],South East,High
111815,West Yorkshire,2021,1,Sexual offences,5,(-0.001. 20.0],East Midlands,Medium
87386,Wiltshire,2021,1,Public order offences,1,(-0.001. 20.0],South West,Medium
110140,Warwickshire,2021,1,Violence against the person,1,(-0.001. 20.0],West Midlands,Medium
105409,Nottinghamshire,2021,1,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
109683,Thames Valley,2021,1,Violence against the person,1,(-0.001. 20.0],South East,Medium
21900,South Yorkshire,2020,1,Drug offences,96,(80.0. 100.0],East Midlands,High
78428,South Yorkshire,2021,3,Public order offences,4,(-0.001. 20.0],East Midlands,Medium
20870,South Wales,2020,1,Theft offences,9,(-0.001. 20.0],South West,High
77482,South Wales,2021,3,Sexual offences,2,(-0.001. 20.0],South West,Medium
76977,Nottinghamshire,2021,3,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
89868,Cheshire,2021,1,Violence against the person,26,(20.0. 40.0],West Midlands,Medium
22454,Staffordshire,2020,1,Violence against the person,6,(-0.001. 20.0],West Midlands,High
76787,Nottinghamshire,2021,3,Violence against the person,36,(20.0. 40.0],East Midlands,Medium
68313,Greater Manchester,2021,3,Public order offences,178,(160.0. 180.0],West Midlands,Medium
5900,Cumbria,2020,1,Criminal damage and arson,383,(300. 400],North,High
102949,North Wales,2021,1,Violence against the person,1,(-0.001. 20.0],South West,Medium
54357,West Mercia,2019,1,Public order offences,4,(-0.001. 20.0],South West,No Lockdown
74987,North Wales,2021,3,Theft offences,1,(-0.001. 20.0],South West,Medium
26426,West Midlands,2020,1,Theft offences,30,(20.0. 40.0],West Midlands,High
89619,Cheshire,2021,1,Violence against the person,3,(-0.001. 20.0],West Midlands,Medium
36962,Greater Manchester,2019,1,Theft offences,88,(80.0. 100.0],West Midlands,No Lockdown
83821,Wiltshire,2021,3,Violence against the person,2,(-0.001. 20.0],South West,Medium
