Area,Age,Sex,Usual Residents,BirthCountry,BirthRegion
Barking and Dagenham,Age 0 to 4,Females,10,Ghana,Africa
Barking and Dagenham,Age 5 to 9,Females,17,Ghana,Africa
Barking and Dagenham,Age 10 to 15,Females,45,Ghana,Africa
Barking and Dagenham,Age 16 to 19,Females,30,Ghana,Africa
Barking and Dagenham,Age 20 to 24,Females,67,Ghana,Africa
Barking and Dagenham,Age 25 to 29,Females,143,Ghana,Africa
Barking and Dagenham,Age 30 to 34,Females,263,Ghana,Africa
Barking and Dagenham,Age 35 to 39,Females,228,Ghana,Africa
Barking and Dagenham,Age 40 to 44,Females,191,Ghana,Africa
Barking and Dagenham,Age 45 to 49,Females,174,Ghana,Africa
Barking and Dagenham,Age 50 to 54,Females,104,Ghana,Africa
Barking and Dagenham,Age 55 to 59,Females,73,Ghana,Africa
Barking and Dagenham,Age 60 to 64,Females,28,Ghana,Africa
Barking and Dagenham,Age 65 to 69,Females,16,Ghana,Africa
Barking and Dagenham,Age 70 to 74,Females,10,Ghana,Africa
Barking and Dagenham,Age 75 to 79,Females,3,Ghana,Africa
Barking and Dagenham,Age 80 or over,Females,2,Ghana,Africa
Barking and Dagenham,Age 0 to 4,Males,2,Ghana,Africa
Barking and Dagenham,Age 5 to 9,Males,18,Ghana,Africa
Barking and Dagenham,Age 10 to 15,Males,42,Ghana,Africa
Barking and Dagenham,Age 16 to 19,Males,32,Ghana,Africa
Barking and Dagenham,Age 20 to 24,Males,75,Ghana,Africa
Barking and Dagenham,Age 25 to 29,Males,80,Ghana,Africa
Barking and Dagenham,Age 30 to 34,Males,203,Ghana,Africa
Barking and Dagenham,Age 35 to 39,Males,193,Ghana,Africa
Barking and Dagenham,Age 40 to 44,Males,192,Ghana,Africa
Barking and Dagenham,Age 45 to 49,Males,148,Ghana,Africa
Barking and Dagenham,Age 50 to 54,Males,136,Ghana,Africa
Barking and Dagenham,Age 55 to 59,Males,85,Ghana,Africa
Barking and Dagenham,Age 60 to 64,Males,31,Ghana,Africa
Barking and Dagenham,Age 65 to 69,Males,19,Ghana,Africa
Barking and Dagenham,Age 70 to 74,Males,7,Ghana,Africa
Barking and Dagenham,Age 75 to 79,Males,3,Ghana,Africa
Barking and Dagenham,Age 80 or over,Males,3,Ghana,Africa
Barking and Dagenham,Age 0 to 4,Females,0,Kenya,Africa
Barking and Dagenham,Age 5 to 9,Females,4,Kenya,Africa
Barking and Dagenham,Age 10 to 15,Females,18,Kenya,Africa
Barking and Dagenham,Age 16 to 19,Females,33,Kenya,Africa
Barking and Dagenham,Age 20 to 24,Females,31,Kenya,Africa
Barking and Dagenham,Age 25 to 29,Females,39,Kenya,Africa
Barking and Dagenham,Age 30 to 34,Females,57,Kenya,Africa
Barking and Dagenham,Age 35 to 39,Females,88,Kenya,Africa
Barking and Dagenham,Age 40 to 44,Females,87,Kenya,Africa
Barking and Dagenham,Age 45 to 49,Females,45,Kenya,Africa
Barking and Dagenham,Age 50 to 54,Females,39,Kenya,Africa
Barking and Dagenham,Age 55 to 59,Females,28,Kenya,Africa
Barking and Dagenham,Age 60 to 64,Females,15,Kenya,Africa
Barking and Dagenham,Age 65 to 69,Females,16,Kenya,Africa
Barking and Dagenham,Age 70 to 74,Females,8,Kenya,Africa
Barking and Dagenham,Age 75 to 79,Females,3,Kenya,Africa
Barking and Dagenham,Age 80 or over,Females,0,Kenya,Africa
Barking and Dagenham,Age 0 to 4,Males,1,Kenya,Africa
Barking and Dagenham,Age 5 to 9,Males,4,Kenya,Africa
Barking and Dagenham,Age 10 to 15,Males,32,Kenya,Africa
Barking and Dagenham,Age 16 to 19,Males,26,Kenya,Africa
Barking and Dagenham,Age 20 to 24,Males,20,Kenya,Africa
Barking and Dagenham,Age 25 to 29,Males,25,Kenya,Africa
Barking and Dagenham,Age 30 to 34,Males,29,Kenya,Africa
Barking and Dagenham,Age 35 to 39,Males,54,Kenya,Africa
Barking and Dagenham,Age 40 to 44,Males,47,Kenya,Africa
Barking and Dagenham,Age 45 to 49,Males,42,Kenya,Africa
Barking and Dagenham,Age 50 to 54,Males,45,Kenya,Africa
Barking and Dagenham,Age 55 to 59,Males,32,Kenya,Africa
Barking and Dagenham,Age 60 to 64,Males,13,Kenya,Africa
Barking and Dagenham,Age 65 to 69,Males,10,Kenya,Africa
Barking and Dagenham,Age 70 to 74,Males,3,Kenya,Africa
Barking and Dagenham,Age 75 to 79,Males,1,Kenya,Africa
Barking and Dagenham,Age 80 or over,Males,2,Kenya,Africa
Barking and Dagenham,Age 0 to 4,Females,104,Nigeria,Africa
Barking and Dagenham,Age 5 to 9,Females,160,Nigeria,Africa
Barking and Dagenham,Age 10 to 15,Females,242,Nigeria,Africa
Barking and Dagenham,Age 16 to 19,Females,154,Nigeria,Africa
Barking and Dagenham,Age 20 to 24,Females,297,Nigeria,Africa
Barking and Dagenham,Age 25 to 29,Females,532,Nigeria,Africa
Barking and Dagenham,Age 30 to 34,Females,775,Nigeria,Africa
Barking and Dagenham,Age 35 to 39,Females,656,Nigeria,Africa
Barking and Dagenham,Age 40 to 44,Females,549,Nigeria,Africa
Barking and Dagenham,Age 45 to 49,Females,423,Nigeria,Africa
Barking and Dagenham,Age 50 to 54,Females,244,Nigeria,Africa
Barking and Dagenham,Age 55 to 59,Females,105,Nigeria,Africa
Barking and Dagenham,Age 60 to 64,Females,58,Nigeria,Africa
Barking and Dagenham,Age 65 to 69,Females,53,Nigeria,Africa
Barking and Dagenham,Age 70 to 74,Females,52,Nigeria,Africa
Barking and Dagenham,Age 75 to 79,Females,15,Nigeria,Africa
Barking and Dagenham,Age 80 or over,Females,6,Nigeria,Africa
Barking and Dagenham,Age 0 to 4,Males,69,Nigeria,Africa
Barking and Dagenham,Age 5 to 9,Males,162,Nigeria,Africa
Barking and Dagenham,Age 10 to 15,Males,238,Nigeria,Africa
Barking and Dagenham,Age 16 to 19,Males,141,Nigeria,Africa
Barking and Dagenham,Age 20 to 24,Males,223,Nigeria,Africa
Barking and Dagenham,Age 25 to 29,Males,385,Nigeria,Africa
Barking and Dagenham,Age 30 to 34,Males,548,Nigeria,Africa
Barking and Dagenham,Age 35 to 39,Males,676,Nigeria,Africa
Barking and Dagenham,Age 40 to 44,Males,673,Nigeria,Africa
Barking and Dagenham,Age 45 to 49,Males,519,Nigeria,Africa
Barking and Dagenham,Age 50 to 54,Males,376,Nigeria,Africa
Barking and Dagenham,Age 55 to 59,Males,144,Nigeria,Africa
Barking and Dagenham,Age 60 to 64,Males,57,Nigeria,Africa
Barking and Dagenham,Age 65 to 69,Males,28,Nigeria,Africa
Barking and Dagenham,Age 70 to 74,Males,25,Nigeria,Africa
Barking and Dagenham,Age 75 to 79,Males,4,Nigeria,Africa
Barking and Dagenham,Age 80 or over,Males,2,Nigeria,Africa
Barking and Dagenham,Age 0 to 4,Females,1,Somalia,Africa
Barking and Dagenham,Age 5 to 9,Females,2,Somalia,Africa
Barking and Dagenham,Age 10 to 15,Females,79,Somalia,Africa
Barking and Dagenham,Age 16 to 19,Females,50,Somalia,Africa
Barking and Dagenham,Age 20 to 24,Females,59,Somalia,Africa
Barking and Dagenham,Age 25 to 29,Females,89,Somalia,Africa
Barking and Dagenham,Age 30 to 34,Females,89,Somalia,Africa
Barking and Dagenham,Age 35 to 39,Females,121,Somalia,Africa
Barking and Dagenham,Age 40 to 44,Females,98,Somalia,Africa
Barking and Dagenham,Age 45 to 49,Females,42,Somalia,Africa
Barking and Dagenham,Age 50 to 54,Females,21,Somalia,Africa
Barking and Dagenham,Age 55 to 59,Females,11,Somalia,Africa
Barking and Dagenham,Age 60 to 64,Females,3,Somalia,Africa
Barking and Dagenham,Age 65 to 69,Females,7,Somalia,Africa
Barking and Dagenham,Age 70 to 74,Females,3,Somalia,Africa
Barking and Dagenham,Age 75 to 79,Females,1,Somalia,Africa
Barking and Dagenham,Age 80 or over,Females,3,Somalia,Africa
Barking and Dagenham,Age 0 to 4,Males,3,Somalia,Africa
Barking and Dagenham,Age 5 to 9,Males,10,Somalia,Africa
Barking and Dagenham,Age 10 to 15,Males,102,Somalia,Africa
Barking and Dagenham,Age 16 to 19,Males,51,Somalia,Africa
Barking and Dagenham,Age 20 to 24,Males,53,Somalia,Africa
Barking and Dagenham,Age 25 to 29,Males,34,Somalia,Africa
Barking and Dagenham,Age 30 to 34,Males,40,Somalia,Africa
Barking and Dagenham,Age 35 to 39,Males,65,Somalia,Africa
Barking and Dagenham,Age 40 to 44,Males,67,Somalia,Africa
Barking and Dagenham,Age 45 to 49,Males,37,Somalia,Africa
Barking and Dagenham,Age 50 to 54,Males,21,Somalia,Africa
Barking and Dagenham,Age 55 to 59,Males,10,Somalia,Africa
Barking and Dagenham,Age 60 to 64,Males,4,Somalia,Africa
Barking and Dagenham,Age 65 to 69,Males,2,Somalia,Africa
Barking and Dagenham,Age 70 to 74,Males,2,Somalia,Africa
Barking and Dagenham,Age 75 to 79,Males,5,Somalia,Africa
Barking and Dagenham,Age 80 or over,Males,3,Somalia,Africa
Barking and Dagenham,Age 0 to 4,Females,1,South Africa,Africa
Barking and Dagenham,Age 5 to 9,Females,5,South Africa,Africa
Barking and Dagenham,Age 10 to 15,Females,10,South Africa,Africa
Barking and Dagenham,Age 16 to 19,Females,9,South Africa,Africa
Barking and Dagenham,Age 20 to 24,Females,9,South Africa,Africa
Barking and Dagenham,Age 25 to 29,Females,23,South Africa,Africa
Barking and Dagenham,Age 30 to 34,Females,21,South Africa,Africa
Barking and Dagenham,Age 35 to 39,Females,36,South Africa,Africa
Barking and Dagenham,Age 40 to 44,Females,27,South Africa,Africa
Barking and Dagenham,Age 45 to 49,Females,13,South Africa,Africa
Barking and Dagenham,Age 50 to 54,Females,20,South Africa,Africa
Barking and Dagenham,Age 55 to 59,Females,8,South Africa,Africa
Barking and Dagenham,Age 60 to 64,Females,10,South Africa,Africa
Barking and Dagenham,Age 65 to 69,Females,4,South Africa,Africa
Barking and Dagenham,Age 70 to 74,Females,0,South Africa,Africa
Barking and Dagenham,Age 75 to 79,Females,8,South Africa,Africa
Barking and Dagenham,Age 80 or over,Females,8,South Africa,Africa
Barking and Dagenham,Age 0 to 4,Males,1,South Africa,Africa
Barking and Dagenham,Age 5 to 9,Males,6,South Africa,Africa
Barking and Dagenham,Age 10 to 15,Males,7,South Africa,Africa
Barking and Dagenham,Age 16 to 19,Males,10,South Africa,Africa
Barking and Dagenham,Age 20 to 24,Males,11,South Africa,Africa
Barking and Dagenham,Age 25 to 29,Males,14,South Africa,Africa
Barking and Dagenham,Age 30 to 34,Males,36,South Africa,Africa
Barking and Dagenham,Age 35 to 39,Males,34,South Africa,Africa
Barking and Dagenham,Age 40 to 44,Males,13,South Africa,Africa
Barking and Dagenham,Age 45 to 49,Males,9,South Africa,Africa
Barking and Dagenham,Age 50 to 54,Males,4,South Africa,Africa
Barking and Dagenham,Age 55 to 59,Males,11,South Africa,Africa
Barking and Dagenham,Age 60 to 64,Males,7,South Africa,Africa
Barking and Dagenham,Age 65 to 69,Males,2,South Africa,Africa
Barking and Dagenham,Age 70 to 74,Males,1,South Africa,Africa
Barking and Dagenham,Age 75 to 79,Males,3,South Africa,Africa
Barking and Dagenham,Age 80 or over,Males,2,South Africa,Africa
Barking and Dagenham,Age 0 to 4,Females,1,Uganda,Africa
Barking and Dagenham,Age 5 to 9,Females,5,Uganda,Africa
Barking and Dagenham,Age 10 to 15,Females,14,Uganda,Africa
Barking and Dagenham,Age 16 to 19,Females,9,Uganda,Africa
Barking and Dagenham,Age 20 to 24,Females,50,Uganda,Africa
Barking and Dagenham,Age 25 to 29,Females,46,Uganda,Africa
Barking and Dagenham,Age 30 to 34,Females,31,Uganda,Africa
Barking and Dagenham,Age 35 to 39,Females,59,Uganda,Africa
Barking and Dagenham,Age 40 to 44,Females,41,Uganda,Africa
Barking and Dagenham,Age 45 to 49,Females,38,Uganda,Africa
Barking and Dagenham,Age 50 to 54,Females,23,Uganda,Africa
Barking and Dagenham,Age 55 to 59,Females,18,Uganda,Africa
Barking and Dagenham,Age 60 to 64,Females,4,Uganda,Africa
Barking and Dagenham,Age 65 to 69,Females,5,Uganda,Africa
Barking and Dagenham,Age 70 to 74,Females,1,Uganda,Africa
Barking and Dagenham,Age 75 to 79,Females,2,Uganda,Africa
Barking and Dagenham,Age 80 or over,Females,1,Uganda,Africa
Barking and Dagenham,Age 0 to 4,Males,1,Uganda,Africa
Barking and Dagenham,Age 5 to 9,Males,4,Uganda,Africa
Barking and Dagenham,Age 10 to 15,Males,6,Uganda,Africa
Barking and Dagenham,Age 16 to 19,Males,8,Uganda,Africa
Barking and Dagenham,Age 20 to 24,Males,33,Uganda,Africa
Barking and Dagenham,Age 25 to 29,Males,12,Uganda,Africa
Barking and Dagenham,Age 30 to 34,Males,20,Uganda,Africa
Barking and Dagenham,Age 35 to 39,Males,17,Uganda,Africa
Barking and Dagenham,Age 40 to 44,Males,41,Uganda,Africa
Barking and Dagenham,Age 45 to 49,Males,41,Uganda,Africa
Barking and Dagenham,Age 50 to 54,Males,22,Uganda,Africa
Barking and Dagenham,Age 55 to 59,Males,19,Uganda,Africa
Barking and Dagenham,Age 60 to 64,Males,9,Uganda,Africa
Barking and Dagenham,Age 65 to 69,Males,7,Uganda,Africa
Barking and Dagenham,Age 70 to 74,Males,2,Uganda,Africa
Barking and Dagenham,Age 75 to 79,Males,3,Uganda,Africa
Barking and Dagenham,Age 80 or over,Males,0,Uganda,Africa
Barking and Dagenham,Age 0 to 4,Females,0,Zimbabwe,Africa
Barking and Dagenham,Age 5 to 9,Females,4,Zimbabwe,Africa
Barking and Dagenham,Age 10 to 15,Females,45,Zimbabwe,Africa
Barking and Dagenham,Age 16 to 19,Females,30,Zimbabwe,Africa
Barking and Dagenham,Age 20 to 24,Females,44,Zimbabwe,Africa
Barking and Dagenham,Age 25 to 29,Females,49,Zimbabwe,Africa
Barking and Dagenham,Age 30 to 34,Females,89,Zimbabwe,Africa
Barking and Dagenham,Age 35 to 39,Females,84,Zimbabwe,Africa
Barking and Dagenham,Age 40 to 44,Females,60,Zimbabwe,Africa
Barking and Dagenham,Age 45 to 49,Females,49,Zimbabwe,Africa
Barking and Dagenham,Age 50 to 54,Females,37,Zimbabwe,Africa
Barking and Dagenham,Age 55 to 59,Females,22,Zimbabwe,Africa
Barking and Dagenham,Age 60 to 64,Females,15,Zimbabwe,Africa
Barking and Dagenham,Age 65 to 69,Females,3,Zimbabwe,Africa
Barking and Dagenham,Age 70 to 74,Females,5,Zimbabwe,Africa
Barking and Dagenham,Age 75 to 79,Females,3,Zimbabwe,Africa
Barking and Dagenham,Age 80 or over,Females,3,Zimbabwe,Africa
Barking and Dagenham,Age 0 to 4,Males,1,Zimbabwe,Africa
Barking and Dagenham,Age 5 to 9,Males,5,Zimbabwe,Africa
Barking and Dagenham,Age 10 to 15,Males,41,Zimbabwe,Africa
Barking and Dagenham,Age 16 to 19,Males,38,Zimbabwe,Africa
Barking and Dagenham,Age 20 to 24,Males,25,Zimbabwe,Africa
Barking and Dagenham,Age 25 to 29,Males,39,Zimbabwe,Africa
Barking and Dagenham,Age 30 to 34,Males,43,Zimbabwe,Africa
Barking and Dagenham,Age 35 to 39,Males,56,Zimbabwe,Africa
Barking and Dagenham,Age 40 to 44,Males,39,Zimbabwe,Africa
Barking and Dagenham,Age 45 to 49,Males,32,Zimbabwe,Africa
Barking and Dagenham,Age 50 to 54,Males,19,Zimbabwe,Africa
Barking and Dagenham,Age 55 to 59,Males,10,Zimbabwe,Africa
Barking and Dagenham,Age 60 to 64,Males,5,Zimbabwe,Africa
Barking and Dagenham,Age 65 to 69,Males,1,Zimbabwe,Africa
Barking and Dagenham,Age 70 to 74,Males,3,Zimbabwe,Africa
Barking and Dagenham,Age 75 to 79,Males,0,Zimbabwe,Africa
Barking and Dagenham,Age 80 or over,Males,0,Zimbabwe,Africa
Barking and Dagenham,Age 0 to 4,Females,1,Australia,Antarctica and Oceania
Barking and Dagenham,Age 5 to 9,Females,0,Australia,Antarctica and Oceania
Barking and Dagenham,Age 10 to 15,Females,0,Australia,Antarctica and Oceania
Barking and Dagenham,Age 16 to 19,Females,0,Australia,Antarctica and Oceania
Barking and Dagenham,Age 20 to 24,Females,3,Australia,Antarctica and Oceania
Barking and Dagenham,Age 25 to 29,Females,5,Australia,Antarctica and Oceania
Barking and Dagenham,Age 30 to 34,Females,11,Australia,Antarctica and Oceania
Barking and Dagenham,Age 35 to 39,Females,5,Australia,Antarctica and Oceania
Barking and Dagenham,Age 40 to 44,Females,12,Australia,Antarctica and Oceania
Barking and Dagenham,Age 45 to 49,Females,5,Australia,Antarctica and Oceania
Barking and Dagenham,Age 50 to 54,Females,1,Australia,Antarctica and Oceania
Barking and Dagenham,Age 55 to 59,Females,3,Australia,Antarctica and Oceania
Barking and Dagenham,Age 60 to 64,Females,3,Australia,Antarctica and Oceania
Barking and Dagenham,Age 65 to 69,Females,1,Australia,Antarctica and Oceania
Barking and Dagenham,Age 70 to 74,Females,0,Australia,Antarctica and Oceania
Barking and Dagenham,Age 75 to 79,Females,2,Australia,Antarctica and Oceania
Barking and Dagenham,Age 80 or over,Females,2,Australia,Antarctica and Oceania
Barking and Dagenham,Age 0 to 4,Males,1,Australia,Antarctica and Oceania
Barking and Dagenham,Age 5 to 9,Males,0,Australia,Antarctica and Oceania
Barking and Dagenham,Age 10 to 15,Males,1,Australia,Antarctica and Oceania
Barking and Dagenham,Age 16 to 19,Males,2,Australia,Antarctica and Oceania
Barking and Dagenham,Age 20 to 24,Males,4,Australia,Antarctica and Oceania
Barking and Dagenham,Age 25 to 29,Males,4,Australia,Antarctica and Oceania
Barking and Dagenham,Age 30 to 34,Males,4,Australia,Antarctica and Oceania
Barking and Dagenham,Age 35 to 39,Males,11,Australia,Antarctica and Oceania
Barking and Dagenham,Age 40 to 44,Males,4,Australia,Antarctica and Oceania
Barking and Dagenham,Age 45 to 49,Males,2,Australia,Antarctica and Oceania
Barking and Dagenham,Age 50 to 54,Males,6,Australia,Antarctica and Oceania
Barking and Dagenham,Age 55 to 59,Males,3,Australia,Antarctica and Oceania
Barking and Dagenham,Age 60 to 64,Males,0,Australia,Antarctica and Oceania
Barking and Dagenham,Age 65 to 69,Males,1,Australia,Antarctica and Oceania
Barking and Dagenham,Age 70 to 74,Males,0,Australia,Antarctica and Oceania
Barking and Dagenham,Age 75 to 79,Males,0,Australia,Antarctica and Oceania
Barking and Dagenham,Age 80 or over,Males,0,Australia,Antarctica and Oceania
Barking and Dagenham,Age 0 to 4,Females,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 5 to 9,Females,8,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 10 to 15,Females,1,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 16 to 19,Females,1,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 20 to 24,Females,2,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 25 to 29,Females,5,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 30 to 34,Females,5,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 35 to 39,Females,18,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 40 to 44,Females,4,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 45 to 49,Females,3,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 50 to 54,Females,4,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 55 to 59,Females,3,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 60 to 64,Females,3,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 65 to 69,Females,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 70 to 74,Females,1,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 75 to 79,Females,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 80 or over,Females,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 0 to 4,Males,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 5 to 9,Males,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 10 to 15,Males,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 16 to 19,Males,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 20 to 24,Males,1,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 25 to 29,Males,4,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 30 to 34,Males,1,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 35 to 39,Males,7,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 40 to 44,Males,6,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 45 to 49,Males,2,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 50 to 54,Males,4,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 55 to 59,Males,2,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 60 to 64,Males,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 65 to 69,Males,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 70 to 74,Males,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 75 to 79,Males,1,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 80 or over,Males,0,New Zealand,Antarctica and Oceania
Barking and Dagenham,Age 0 to 4,Females,14,Bulgaria,Europe
Barking and Dagenham,Age 5 to 9,Females,10,Bulgaria,Europe
Barking and Dagenham,Age 10 to 15,Females,24,Bulgaria,Europe
Barking and Dagenham,Age 16 to 19,Females,16,Bulgaria,Europe
Barking and Dagenham,Age 20 to 24,Females,36,Bulgaria,Europe
Barking and Dagenham,Age 25 to 29,Females,64,Bulgaria,Europe
Barking and Dagenham,Age 30 to 34,Females,72,Bulgaria,Europe
Barking and Dagenham,Age 35 to 39,Females,80,Bulgaria,Europe
Barking and Dagenham,Age 40 to 44,Females,40,Bulgaria,Europe
Barking and Dagenham,Age 45 to 49,Females,17,Bulgaria,Europe
Barking and Dagenham,Age 50 to 54,Females,15,Bulgaria,Europe
Barking and Dagenham,Age 55 to 59,Females,13,Bulgaria,Europe
Barking and Dagenham,Age 60 to 64,Females,7,Bulgaria,Europe
Barking and Dagenham,Age 65 to 69,Females,4,Bulgaria,Europe
Barking and Dagenham,Age 70 to 74,Females,0,Bulgaria,Europe
Barking and Dagenham,Age 75 to 79,Females,1,Bulgaria,Europe
Barking and Dagenham,Age 80 or over,Females,0,Bulgaria,Europe
Barking and Dagenham,Age 0 to 4,Males,5,Bulgaria,Europe
Barking and Dagenham,Age 5 to 9,Males,17,Bulgaria,Europe
Barking and Dagenham,Age 10 to 15,Males,24,Bulgaria,Europe
Barking and Dagenham,Age 16 to 19,Males,11,Bulgaria,Europe
Barking and Dagenham,Age 20 to 24,Males,40,Bulgaria,Europe
Barking and Dagenham,Age 25 to 29,Males,45,Bulgaria,Europe
Barking and Dagenham,Age 30 to 34,Males,96,Bulgaria,Europe
Barking and Dagenham,Age 35 to 39,Males,95,Bulgaria,Europe
Barking and Dagenham,Age 40 to 44,Males,75,Bulgaria,Europe
Barking and Dagenham,Age 45 to 49,Males,44,Bulgaria,Europe
Barking and Dagenham,Age 50 to 54,Males,10,Bulgaria,Europe
Barking and Dagenham,Age 55 to 59,Males,12,Bulgaria,Europe
Barking and Dagenham,Age 60 to 64,Males,2,Bulgaria,Europe
Barking and Dagenham,Age 65 to 69,Males,1,Bulgaria,Europe
Barking and Dagenham,Age 70 to 74,Males,0,Bulgaria,Europe
Barking and Dagenham,Age 75 to 79,Males,0,Bulgaria,Europe
Barking and Dagenham,Age 80 or over,Males,1,Bulgaria,Europe
Barking and Dagenham,Age 0 to 4,Females,0,Cyprus,Europe
Barking and Dagenham,Age 5 to 9,Females,0,Cyprus,Europe
Barking and Dagenham,Age 10 to 15,Females,4,Cyprus,Europe
Barking and Dagenham,Age 16 to 19,Females,5,Cyprus,Europe
Barking and Dagenham,Age 20 to 24,Females,9,Cyprus,Europe
Barking and Dagenham,Age 25 to 29,Females,6,Cyprus,Europe
Barking and Dagenham,Age 30 to 34,Females,13,Cyprus,Europe
Barking and Dagenham,Age 35 to 39,Females,8,Cyprus,Europe
Barking and Dagenham,Age 40 to 44,Females,15,Cyprus,Europe
Barking and Dagenham,Age 45 to 49,Females,14,Cyprus,Europe
Barking and Dagenham,Age 50 to 54,Females,34,Cyprus,Europe
Barking and Dagenham,Age 55 to 59,Females,20,Cyprus,Europe
Barking and Dagenham,Age 60 to 64,Females,21,Cyprus,Europe
Barking and Dagenham,Age 65 to 69,Females,16,Cyprus,Europe
Barking and Dagenham,Age 70 to 74,Females,10,Cyprus,Europe
Barking and Dagenham,Age 75 to 79,Females,11,Cyprus,Europe
Barking and Dagenham,Age 80 or over,Females,10,Cyprus,Europe
Barking and Dagenham,Age 0 to 4,Males,0,Cyprus,Europe
Barking and Dagenham,Age 5 to 9,Males,1,Cyprus,Europe
Barking and Dagenham,Age 10 to 15,Males,7,Cyprus,Europe
Barking and Dagenham,Age 16 to 19,Males,10,Cyprus,Europe
Barking and Dagenham,Age 20 to 24,Males,8,Cyprus,Europe
Barking and Dagenham,Age 25 to 29,Males,8,Cyprus,Europe
Barking and Dagenham,Age 30 to 34,Males,10,Cyprus,Europe
Barking and Dagenham,Age 35 to 39,Males,12,Cyprus,Europe
Barking and Dagenham,Age 40 to 44,Males,18,Cyprus,Europe
Barking and Dagenham,Age 45 to 49,Males,15,Cyprus,Europe
Barking and Dagenham,Age 50 to 54,Males,31,Cyprus,Europe
Barking and Dagenham,Age 55 to 59,Males,26,Cyprus,Europe
Barking and Dagenham,Age 60 to 64,Males,10,Cyprus,Europe
Barking and Dagenham,Age 65 to 69,Males,19,Cyprus,Europe
Barking and Dagenham,Age 70 to 74,Males,14,Cyprus,Europe
Barking and Dagenham,Age 75 to 79,Males,6,Cyprus,Europe
Barking and Dagenham,Age 80 or over,Males,11,Cyprus,Europe
Barking and Dagenham,Age 0 to 4,Females,11,France,Europe
Barking and Dagenham,Age 5 to 9,Females,36,France,Europe
Barking and Dagenham,Age 10 to 15,Females,21,France,Europe
Barking and Dagenham,Age 16 to 19,Females,13,France,Europe
Barking and Dagenham,Age 20 to 24,Females,25,France,Europe
Barking and Dagenham,Age 25 to 29,Females,40,France,Europe
Barking and Dagenham,Age 30 to 34,Females,45,France,Europe
Barking and Dagenham,Age 35 to 39,Females,33,France,Europe
Barking and Dagenham,Age 40 to 44,Females,19,France,Europe
Barking and Dagenham,Age 45 to 49,Females,5,France,Europe
Barking and Dagenham,Age 50 to 54,Females,8,France,Europe
Barking and Dagenham,Age 55 to 59,Females,2,France,Europe
Barking and Dagenham,Age 60 to 64,Females,2,France,Europe
Barking and Dagenham,Age 65 to 69,Females,2,France,Europe
Barking and Dagenham,Age 70 to 74,Females,1,France,Europe
Barking and Dagenham,Age 75 to 79,Females,1,France,Europe
Barking and Dagenham,Age 80 or over,Females,3,France,Europe
Barking and Dagenham,Age 0 to 4,Males,7,France,Europe
Barking and Dagenham,Age 5 to 9,Males,23,France,Europe
Barking and Dagenham,Age 10 to 15,Males,40,France,Europe
Barking and Dagenham,Age 16 to 19,Males,15,France,Europe
Barking and Dagenham,Age 20 to 24,Males,25,France,Europe
Barking and Dagenham,Age 25 to 29,Males,26,France,Europe
Barking and Dagenham,Age 30 to 34,Males,25,France,Europe
Barking and Dagenham,Age 35 to 39,Males,19,France,Europe
Barking and Dagenham,Age 40 to 44,Males,16,France,Europe
Barking and Dagenham,Age 45 to 49,Males,7,France,Europe
Barking and Dagenham,Age 50 to 54,Males,2,France,Europe
Barking and Dagenham,Age 55 to 59,Males,1,France,Europe
Barking and Dagenham,Age 60 to 64,Males,2,France,Europe
Barking and Dagenham,Age 65 to 69,Males,0,France,Europe
